Symptoms,Loss of taste,Tidak bisa mengecap atau merasakan rasa di lidah,আপনার মাথাটা অল্প পিছন দিকে কাত করুন।,အရသာခံစားမှုပျောက်ဆုံးခြင်း,Имате ли загуба на вкус?,,,Sakit sa puso,Perte du goût,味覚障害,បាត់បង់រសជាតិ,Verlust des Geschmacks,તમને જમવાનું ફિક્કું/સ્વાદહીન લાગે છે?,,אוֹבְדָן חוּשׁ הַטַּעַם,,क्या आप खाने में स्वाद पाते हैं?,Perdita del gusto,심장 질환,Hilang deria rasa,ສູນເສຍການຮັບຮູ້ລົດຊາດອາຫານ,,तोंडाला चव नसणे. ,स्वाद  नहुने ,ਸੁਵਾਦ ਨਾ ਆਣਾ?,Perda do paladar,"Потеря вкуса",,Pérdida del gusto,,இதற்கு முன் உங்களுக்கு ஏதேனும் மருத்துவ ரீதியான பிரச்சனைகள் இருந்திருக்கிறதா?,మీకు తింటున్నప్పుడు రుచి తెలుస్తోంది?,ไม่รับรู้รสชาติอาหาร,tat kaybı,Lưỡi mất vị giác,
Symptoms,Lost of Smell,Tidak bisa mencium bau?,"যদি করোনাভাইরাস টেস্ট পসিটিভ হয়, আমরা আগামীকালের মধ্যে আপনাকে ফোন করব।",အနံ.မရခြင်း ပျောက်ဆုံးခြင်း,Имате ли загуба на обоняние?,,,Sakit sa bato,Perte de l'odorat,嗅覚障害,បាត់់បង់ក្លិន,Verloren Geruch,તમને વસ્તુઓ ની સુગંધ આવે છે?,,אוֹבְדָן חוּשׁ הָרֵיחַ,,क्या आप चीज़े सूंघ पाते हैं ,Perso di Smell,신장 질환,Hilang deria bau,ສູນເສຍການຮັບຮູ້ກິ່ນ,,वास न येणे. ,सुँघ्न  नसक्ने ,ਖ਼ਸ਼ਬੂ ਨਾ ਆਣਾ?,Perdeu de cheiro,Потеря обоняния,,Perdida del olfato,,உங்களுக்கு இவற்றுள் ஏதேனும் இருந்தால் என்னிடம் கூறுங்கள்.,వాసన చూడగలుగుతున్నారా ?,ไม่ได้กลิ่น,Kokuları Kayıp,Mũi mất thính giác ,
Medical Conditions,Do you have a drug allergy?,Apakah anda memiliki alergi obat?,"যদি করোনভাইরাস টেস্ট নেগেটিভ হয়, তবে আমরা আপনাকে তিন দিনের মধ্যে ""স এম স"" (SMS) করব।",မတည်.သည်.‌ဆေးအမျိုးအစားရှိပါသလား။ ‌ဖေါ်် ပြပေးပါ။,Имате ли алергични реакции към лекарства? ,你有药物敏感吗？,您有對藥物敏感嗎?,Mayroon ka bang allergy sa mga gamot?,Avez-vous une allergie aux médicaments ?,薬のアレルギーはありますか？,តើអ្នកមានប្រតិកម្មជាមួយថ្នាំំណាមួយទេ?,Haben Sie eine Arzneimittelallergie haben?,કોઈપણ દવાની એલર્જી?,,הַאִם יֵשׁ לְךָ/לָךְ אָלֶרְגִּיָּה לִתְרוּפָה כָּלְשֶׁהִי?,,किसी दवाई से एलर्जी ?,Avete un'allergia ai farmaci?,약물 알레르기가 있나요?,Ada alahan ubat (atau ubat yang tidak boleh dimakan)?,ທ່ານແພ້ຢາຫຍັງບໍ?,,तुम्हाला एखाद्या औषधाचा त्रास होतो का?,कुनै औसधिको अय्लार्जी छ?,ਕੀ ਤੁਹਾਨੂੰ ਕੋਈ ਦਵਾਈ ਦੀ ਐਲਰਜੀ ਹੈ?,Você tem uma alergia a medicamentos?,Есть ли у вас аллергия на лекарства?,,Es alérgico a alguna medicina?,,ஆஸ்துமா,మీకు ఏదైనా మందులకు అలెర్జీ ఉందా?,คุณแพ้ยาหรือไม่,Eğer bir ilaç alerjisi var mı?,Anh/chị có dị ứng với thuốc nào không,
Medical Conditions,"Do you smoke? If yes, how many cigarettes a day?","Apakah anda merokok? Jika ya, berapa banyak batang rokok dalam satu hari?",পরে আপনার এক্স-রে হবে।,ဆေးလိပ်သောက်ပါသလား။ တနေ.‌လျင်ဘယ်နှလိပ်သောက်ပါသလဲ။,"Пушите ли? Ако да, по колко цигари на ден?",你有吸烟吗？抽几根？,您有抽煙嗎? 一天抽幾支 / 幾包?,"Ikaw ba ay naninigarilyo? Kung oo, ilang sigarilyo sa isang araw?","Est-ce que vous fumez ? Si oui, combien de cigarettes par jour ?",タバコは吸いますか？1日に何本吸いますか？,តើអ្នកជក់បារីដែរឬទេ?​​​បើជក់​តើអ្នកជក់បារីប៉ុន្មានដើមក្នុងមួយថ្ងៃ?,"Rauchen Sie? Wenn ja, wie viele Zigaretten pro Tag?",તમને સિગરેટ પીવાની આદત છે? દિવસ ની કેટલી પીવો છો?,,"הַאִם אַתָּה/אַתְּ מְעַשֵּׁן/מְעַשֶּׁנֶת? אִם כֵּן, כַּמָּה סִיגַרְיוֹת בְּיוֹם?",,क्या आप सिगरेट या बीड़ी पीते हैं? दिन में कितनी बार?,"Fumi? Se si, quante sigarette al giorno?",담배를 피우시나요? 하루에 몇개비를 피우시나요?,"Ada hisap rokok tak? Kalau ya, berapa batang sehari?","ທ່ານສູບຢາບໍ? ຖ້າສູບ, ຈັກກອກຕໍ່ມື້?",,तुम्ही सिगारेट पिता का?. पीत असाल तर दिवसातून किती?. ,"चुरोट  खानु हुन्छ? यदि हो भने, दिनको कति चुरोट खानु हुन्छ?","ਕੀ ਤੁਸੀਂ ਧੂਮਰਪਾਨ ਕਰਦੇ ਹੋ? ਜੇ ਹਾਂ, ਇੱਕ ਦਿਨ ਵਿੱਚ ਕਿੰਨੇ ਸਿਗਰਟ ਹਨ?","Voce fuma? Se sim, quantos cigarros por dia?","Вы курите? Если да, то сколько сигарет в день?",,Fuma? Cuántos cigarros al día?,,நிமோனியா,"మీరు పొగత్రాగుతారా? అవును అయితే, రోజుకు ఎన్ని సిగరెట్లు?",คุณสูบบุหรี่หรือไม่ ถ้าใช่ คุณสูบกี่มวนต่อวัน,Sigara içer misiniz? evet kaç sigara günde ise?,"Anh/chị có hút thuốc không? Nếu có, bao nhiêu điếu 1 ngày?",
Medical Conditions,"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Apakah anda minum minuman beralkohol? Jika ya, berapa banyak botol dalam seminggu dan apa jenisnya?",আপনার এক্স-রেতে কোনও ইনফেকশন নেই।,အရက်ဘီယာ ‌ေသောက်ပါသလား။ (တပါတ်အတွင်း‌ေသောက်သုံး‌သော ပုလင်းအရေအတွက်နှင်. အမျိုးအစားကို‌ဖေါ်် ပြပါ။,"Пиеш ли? Ако да, колко (брой бутилки седмично, вид алкохол)?","您有喝酒吗？
喝什么样的酒？
每个星期喝几次？一次喝几杯/几瓶？",您有喝酒嗎? 喝什麼樣的酒? 每個星期喝幾次?一次喝幾杯/幾瓶?,"Umiinom ka ba ng alkohol o alak? Kung oo, gaano karami at kadalas? (ilang bote ang naiinom sa isang linggo at ano ang klase ng alkohol o alak) ","Buvez-vous ? Si oui, combien (nombre de bouteilles par semaine, type d'alcool) ?",お酒は飲みますか？どのくらい飲みますか？（1週間に何本、どんなお酒を教えてください）,តើអ្នកពិសាស្រាដែរឬទេ​​​?បើពិសាតើអ្នកពិសាស្រាប្រភេទអ្វី​​​?ហើយប៉ុន្មានដបក្នុងមួយអាទិត្យ?,"Trinken Sie? Wenn ja, wie viel (Anzahl der Flaschen pro Woche Art von Alkohol)?","તમને દારૂ પીવાની આદત છે? ક્યાં પ્રકાર નું દારૂ પીવો છો? કેટલું? દિવસમાં, અઠવાડિયામાં?",,"הַאִם אַתָּה/אַתְּ שׁוֹתֶה/שׁוֹתָה אַלְכּוֹהוֹל? אִם כֵּן, כַּמָּה (מִסְפַּר הַבַּקְבּוּקִים בַּשָּׁבוּעַ, סוּג הָאַלְכּוֹהוֹל)?",,"क्या आप शराब पीते हैं?  अगर हाँ, तो किस किसम का शराब और हफ्ते में कितनी बार?","Bevi? Se sì, quanto (numero di bottiglie di una settimana, tipo di alcool)?",술을 하시나요? 얼마나 하시나요? (일주일에 몇병을 마시나요? / 어떤 종류의 술을 마시나요?),"Ada ambil minuman keras? Kalau ya, berapa banyak? (jumlah botol seminggu, jenis minuman alkohol apa)","ທ່ານດື່ມສິ່ງມືນເມົາບໍ? ຖ້າດື່ມ, ຈັກແກ້ວຕໍ່ອາທິດ, ສິ່ງມືນເມົາປະເພດໃດ?",,"आपण पिण्यास का? होय असल्यास, किती (आठवड्यातून बाटल्या संख्या, दारू प्रकार)?","रक्सि पिउनु हुन्छ? यदि  हो  भने , हफ्ता को  कति जति पिउनु हुन्छ ? कति बोतल र  कस्तो रक्सि?","ਕੀ ਤੁਸੀਂ ਸ਼ਰਾਬ ਪੀਂਦੇ ਹੋ? ਜੇ ਹਾਂ, ਤੁਸੀਂ ਕਿੰਨਾ ਪੀਂਦੇ ਹੋ? ਹਫਤੇ ਵਿਚ ਕਿੰਨੀਆਂ ਬੋਤਲਾਂ ਅਤੇ ਕਿਸ ਕਿਸਮ ਦੀ ਸ਼ਰਾਬ?","Você bebe? Se sim, quanto (número de garrafas por semana, tipo de álcool)?","Вы пьете? Если да, то сколько (колличество бутылок в неделю, тип алкоголя)?",,"Bebe alcohol? De ser así, cuántas botellas a la semana y qué tipo de alcohol?",,உயர் இரத்த அழுத்தம் (ஹைப்பர்டென்ஷன்),మీరు త్రాగుతారా? ఒక్కవేల తాగితే  వారానికి ఎన్ని సీసాలు లేదా బాటిల్స్ త్రాగుతారు?  ఏ రకమైన మందు త్రాగుతారు?,คุณดื่มสุราหรือไม่ ถ้าใช่ โปรดระบุจำนวนขวดที่ดื่มต่อสัปดาห์และชนิดของแอลกอฮอล,"İçiyor musun? evet ise, ne kadar (şişelerin sayısı haftada alkolün türü)?","Anh/chị có uống đồ uống có cồn không? Nếu có, bao nhiêu chai 1 tuần, loại rượu bia gì?",
Medical Conditions,"If you have any other problems, you can tell me in English.","Jika anda memiliki keluhan lain, anda bisa mengatakannya dalam bahasa Inggris.",আপনি একটু পরেই ফিরে যেতে পারবেন।,အခြားပြသနာများရှိပါက ‌ေဖေါ်််် ပြ ပါ။အင်ဂလိပ်လိုပြောနိုင်ပါသည်။,"Ако имате някакви други проблеми, можете да ми кажете на английски език.",你还有其他问题吗？可以用英语跟我说。,"如果您有其他問題和擔憂,可以用英語問我","Kung may iba ka pang problema sa iyong kalusugan, paki-sabi sa wikang Ingles",Si vous avez d'autres problèmes vous pouvez me le dire en anglais,ほかに問題があれば、英語で教えてください。,បើសិនជាអ្នកមានបញ្ហារអ្វីទៀតសូមប្រាប់ខ្ញុំជាភាសាអង់គ្លេស,"Wenn Sie irgendwelche anderen Probleme haben, können Sie mich auf Englisch sagen.","જો તમને કોઇ સમસ્યા હોય, તો તમે મને ઇંગલિશ માં કહી શકો છો",,אִם יֵשׁ לְךָ/לָךְ בְּעָיוֹת נוֹסָפוֹת תּוּכַל/תּוּכְלִי לוֹמַר לִי בְּאַנְגְּלִית.,,"अगर आपको कोई और समस्या है, तो आप मुझे अंग्रेजी में बता सकते हैं ","Se avete altri problemi, mi si può dire in inglese.",다른 문제가 있으시면 영어로 말해주세요,"Kalau ada masalah lain, anda boleh beritahu kami dalam Bahasa Inggeris.","ຖ້າທ່ານມີປັນຫາອື່ນໆ, ທ່ານສາມາດບອກຂ້າພະເຈົ້າເປັນພາສາອັງກິດໄດ້.",,"आपण इतर काही समस्या असल्यास, आपण इंग्रजीत मला सांगू शकता.",अरु कुनै स्वास्थ सम्बन्धि समस्या छ? अंग्रेजीमा भन्नुस.,"ਜੇ ਤੁਹਾਨੂੰ ਕੋਈ ਹੋਰ ਸਮੱਸਿਆਵਾਂ ਹਨ, ਤੁਸੀਂ ਮੈਨੂੰ ਅੰਗਰੇਜ਼ੀ ਵਿਚ ਦੱਸ ਸਕਦੇ ਹੋ.","Se você tiver qualquer outro problema, você pode me dizer em Inglês.","Если у вас есть какие-либо другие проблемы, вы можете сказать мне на английском",,"Si tiene algún otro problema, me puede decir en inglés",,(ஹைப்பர்லிபிடெமியா எனப்படும் ரத்தத்தில் அதிகமாக கொழுப்பு இருக்கும் நோய்),"మీకు ఏమైనా సమస్యలు ఉంటే, మీరు నాకు ఇంగ్లీషులో చెప్పండి",หากมีปัญหาด้านอื่นๆ คุณสามารถแจ้งโดยใช้ภาษาอังกฤษ,"Eğer başka sorunlarınız varsa, İngilizce olarak bana söyleyebilir.","Nếu anh/chị có vấn đề gì khác, hãy nói cho tôi biết bằng tiếng Anh. ",
Medical Instructions,I'm going to examine you. ,Saya akan memeriksa anda.,"এখানে অপেক্ষা করুন, আপাতত এখান থেকে চলে যাবেন না",စမ်းသပ်စစ်ဆေးမှု စတင်ပါ‌တော.မည်။,Ще ви прегледам.,我现在检查你的身体,我現在需要檢查您的身體 ,Eksaminin lang kita,Je vais vous examiner.,今から診察始めます。,ខ្ញុំនឹងពិនិត្យអ្នក,Ich werde dich untersuchen.,હું તમારી તાપસ કરીશ/કરવાનો છું.,,אֲנִי עוֹמֵד/עוֹמֶדֶת לִבְדּוֹק אוֹתְךָ/אוֹתָךְ.,,मैं आपकी जांच करने वाला / वाली हूँ ,Ho intenzione di esaminare voi.,검사를 실시 하겠습니다,Saya akan periksa anda sekarang.,ຂ້າພະເຈົ້າກຳລັງຈະກວດທ່ານເດີ້.,,मी तुम्हाला परीक्षण करणार आहे.,म अब तपाइलाई जाच्छु. ,ਮੈਂ ਤੁਹਾਡੀ ਜਾਂਚ ਕਰਨ ਜਾ ਰਿਹਾ ਹਾਂ.,Vou examiná-lo.,Я собираюсь осмотреть вас,,Lo voy a examinar,,நீரிழிவு நோய் (டையபீட்டிஸ்/இனிப்பு நீர்/சர்க்கரை வியாதி/ஷுகர்),నేను మిమ్మల్ని పరిశీలించబోతున్నాను,หมอกำลังจะตรวจคุณ,Sizi muayene edeceğim.,Bây giờ tôi sẽ khám cho anh/chị.,
Medical Instructions,Tell me if you feel more pain.,Katakan jika anda merasa sakit.,আপনাকে কিছুদিন হাসপাতালে থাকতে হবে।,နာကျင်မှုရှိပါက ‌ပြောပါ။,"Кажете ми, ако чувствате повече болка.",请让我知道如果痛,如果有痛要告訴我,Sabihin mo kung may masakit,Dites-moi si vous vous ressentez encore plus la douleur.,さらに痛みを感じたら教えてください。,សូមប្រាប់បើសិនអ្នកមានឈឺត្រង់ណាមួយ,"Sagen Sie mir, wenn Sie mehr Schmerz fühlen.",તમને વધુ દુખે તો મને કેહજો,,אֱמוֹר/אִמְרִי לִי אִם אַתָּה/אַתְּ מַרְגִּישׁ כְּאֵב.,,"अगर आपको ज़्यादा दर्द महसूस हो रहा हैं, तो मुझे बताइये ",Dimmi se si sente più dolore.,통증이 심화되면 알려주세요,"Kalau sakit, bilang saya. ",ບອກໃຫ້ຂ້າພະເຈົ້າຮັບຮູ້ຖ້າທ່ານຮູ້ສຶກເຖິງຄວາມເຈັບປວດທີ່ເພີ່ມຂຶ້ນ.,,आपण अधिक वेदना वाटत असेल तर मला सांगा.,कतै  बढी  दुख्यो  भने  भन्नु  होला. ,ਜੇ ਤੁਹਾਨੂੰ ਕਿਧਰੇ ਹੋਰ ਦਰਦ ਮਹਿਸੂਸ ਹੋਂਦ ਹੈ ਤੇ ਮੈਨੂੰ ਦੱਸੋ,Diga-me se você se sentir mais dor.,"Скажите мне, если вы почувствуете боль",,Dígame si le duele más,,இதய கோளாறு,మీకు నొప్పిగా ఉంటే చెప్పండి,กรุณาบอกหมอหากมีอาการเจ็บ,Daha ağrınız olursa söyle.,Hãy nói cho tôi nếu anh/chị cảm thấy đau hơn.,
Medical Instructions,Please remove your shirt.,Tolong buka baju anda.,আমি আপনাকে ওষুধ দেব। তাতে আপনি আরাম বোধ করবেন।,သင်၏အင်ကျီ ကိုချွတ် ‌ပေးပါ။,"Моля, свалете ризата си.",请把衣服脱掉,請脫掉上衣,Paki-tanggal ang iyong damit,Enlevez votre chemise s'il vous plaît ,上着を脱いでください。,សូមដោះអាវ,Bitte entfernen Sie Ihr T-Shirt.,કૃપા કરીને તમારા શર્ટ ખોલજો,,אָנָּא הוֹרֵד/הוֹרִידִי אֶת הַחֻולְצָה שֶׁלְּךָ/שֶׁלָּךְ.,,कृपया अपनी शर्ट उतारिये ,Si prega di rimuovere la camicia.,옷을 벗어주세요,Tolong buka baju.,ກະລຸນາແກ້ເສື້ອຂອງທ່ານອອກ.,,आपल्या शर्ट काढून टाका.,कृपया  आफ्नो  सर्त  निकाल्नुस .,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੀ ਕਮੀਜ਼ ਨੂੰ ਹਟਾ ਦਿਓ.,"Por favor, remova sua camisa.","Разденьтесь, пожалуйста, до пояса",,Quítese la camisa por favor,,சிறுநீரகத்தில் (கிட்ணி) பிரச்சினை,దయచేసి మీ చొక్కా తొలగించండి.,กรุณาถอดเสื้อ,Gömleğini kaldırın.,Làm ơn bỏ áo ra.,
Medical Instructions,Keep taking deep breaths through your mouth.,Ambil nafas yang dalam dengan mulut anda,পরবর্তী ৫ দিন আপনার কাজ করা উচিত নয়।,ပါးစပ်မှ အသက်ကိုခပ်ပြင်းပြင်းရှူပေးပါ။,Продължавайте да дишате дълбоко през устата,继续用口深呼吸,用嘴巴深呼吸,Huminga nang malalim gamit ang iyong bibig,Continuez à prendre des grandes respirations par la bouche,口で深い呼吸を続けてください。,សូមដកដង្ហើមវែងៗតាមមាត់,Halten Sie nehmen tiefe Atemzüge durch den Mund.,મોઢાથી શ્વાસ લેતા રહેજો,,תַּמְשִׁיךְ/תַּמְשִׁיכִי לָקַחַת נְשִׁימוֹת אֲרוּכּוֹת דֶּרֶךְ הַפֶּה.,,अपने मुंह के गहरी साँस लेते रहें।,Continuare a prendere respiri profondi attraverso la bocca.,입으로 깊은 숨을 들이 마시세요.,Tarik nafas dan hembus berulang kali.,ພະຍາຍາມຫາຍໃຈເຂົ້າເລິກໆຜ່ານທາງປາກຂອງທ່ານ.,,आपल्या तोंडून खोल श्वास घेत राहा.,गहिरो  स्वास  लिदै  गर्नुस.,ਆਪਣੇ ਮੂੰਹ ਰਾਹੀਂ ਲੰਮੀ ਸਾਹ ਲੈਂਦੇ ਰਹੋ,Continue a tomar respirações profundas através de sua boca.,Продолжайте глубоко дышать ртом,,Sigue respirando profundo por la boca,,நீங்கள் தவிர்க்க வேண்டிய மருந்து மாத்திரைகள் ஏதேனும் உண்டா? அதாவது உங்களுக்கு ஏதேனும் மருந்து அலர்ஜி (allergy) உண்டா?,మీరు నోటితో గట్టిగ స్వాస పీలుస్తూ ఉండండి,หายใจผ่านทางปากเข้าลึกๆ,Ağzından derin nefes almaya devam edebilirsiniz.,Hãy thở thật sâu qua miệng.,
Medical Instructions,"Say ""99"" when I listen with my stethoscope.","Katakan ""sembilan puluh sembilan"" ketika saya mendengarkan dengan stetoskop.","আপনার শ্বাস কষ্ট হলে, আপনাকে অবশ্যই ফেরত আসতে হবে। ৫ দিন","နားကြပ်ကိရိယာဖြင်.နား‌ထောင်နေသောအချိန် တွင် နိုင်တီနိုင်း ""99"" ဟုပြော ပါ။","Кажете ""99"", когато ви преслушвам с моите слушалки.",请你当我用听诊器的时候说‘eee',"當我把聽筒放在您身上時,說""EEEEEEE""","Sabihin ang ""99"" habang nakikinig ako gamit ang stethoscope ","Dites ""99"" quand j'écoute avec mon stéthoscope.",聴診器で聞くとき、99を言ってください。,សូមនិយាយ​​99ពេលខ្ញុំស្តាប់ផ្លូវដង្ហើមរបស់អ្នក,"Sagen Sie „99"", wenn ich mit meinem Stethoskop hören.","જયારે હું સ્ટેથોસ્કોપથી સાંભળું ત્યારે ""નાઈન્ટી નાઈન"" ના ઉચ્ચારણ કરજો",,"תֹּאמַר/תֹּאמְרִי ""99"" כְּשֶׁאֲנִי מַאֲזִין/מַאֲזִינָה עִם הַסְּטָטוֹסְקוֹפּ שֶׁלִּי.",,"मैं जब stethoscope लगा के सुनूंगा तब आप ""नाइनटी नाइन"" बोलियेगा  ","Dire ""99"" quando ascolto con il mio stetoscopio.","저는 청진기를 들을때, 환자분 ""구십구""를 말해주세요","Cakap ""99"" bila saya dengar dengan stetoskop.","ຈົ່ງເວົ້າເລກ ""99"" ເມື່ອຂ້າພະເຈົ້າທຳການຟັງດ້ວຍເຄື່ອງຊ່ວຍຟັງທາງການແພດ.",,"""99"" मी माझ्या प्रोसीजर ऐका करता तेव्हा असे म्हणा.","मैले  स्थेतोस्कोप   बाट  सुन्दा , कृपया  ""99"" भन्नुस. ","ਜਦੋਂ ਮੈਂ ਆਪਣੇ ਸਟੈਥੋਸਕੋਪ ਨਾਲ ਸੁਣਦਾ ਹਾਂ ਤਾਂ ""99"" ਕਹੋ.","Diga ""99"" quando ouço com o meu estetoscópio.","Скажите ""99"" пока я слушаю вас своим стетоскопом",,"Diga ""noventa y nueve"" cuando esté escuchando con mi estetoscopio",,நீங்கள் புகை பிடிப்பீர்களா? ஒரு நாளில் எத்தனை சிகரெட்டுகள் புகைபிடிப்பீர்கள்?,"నేను స్టెతస్కోప్‌తో పరీక్షిస్తున్నప్పుడు, మీరు ఆంగ్లంలో నైన్టీ-నైన్ చెప్పండి.",พูดคำว่า '99' ตอนที่หมอตรวจฟังเสียงหัวใจ,"Benim steteskop ile dinlerken ""99"" de.","Nói ""99"" (nai nai) khi tôi sử dụng ống nghe.",
Medical Instructions,I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Saya akan memasukkan cotton bud (kapas telinga) ini ke lubang hidung anda. Anda akan merasa sedikit tidak nyaman, namun ini tidak menyakitkan",পরেও যদি আপনি সম্পুর্ণ সুস্থ না হন তবে অবশ্যই ফেরত আসতে হবে।,နားကြပ်တံလေးကိုသင်.၏နှာ‌ခေါင်း ‌ပေါက် အတွင်းသို.ထိုးသွင်းပါ‌တော.မည်။ အနည်းငယ်မသက်မသာဖြစ်ပါလိမ်.မည်။မနာကျင်ပါ။,"Ще поставя тази клечка с памук във вашата ноздра. Ще се почувствате странно, но това не е болезнено. ",我会把棉花放进你的鼻子。有点不舒服但不会痛,"我會把這個棉花棒放進您的鼻子。 您會感到不舒服,請見諒","Ipapasok ko lamang itong cotton bud sa loob ng iyong ilong. Kakaiba ang pakiramdam, ngunit hindi naman ito masakit. ","Je vais mettre ce coton-tige dans votre narine. Il se peut que vous vous sentiez incomfortable, mais ce n'est pas douloureux",今からこの綿棒を鼻の奥に入れます。違和感はあるかもしれませんが、痛くないですよ。,ខ្ញុំុនឹងដាក់សំលីនេះចូលច្រមុះរបស់អ្នក។អ្នកអាចមានអារម្មណ៏ចម្លែកប៉ុន្តែវាមិនឈឺនោះទេ,"Ich werde diese Wattestäbchen in die Nase setzen. Sie werden ein seltsames Gefühl, aber es ist nicht schmerzhaft","હું તમારા નાકમાં રૂ રાખું છું . થોડી અકળામણ થશે, પંણ દુખશે નહીં.",,אֲנִי הוֹלֵךְ/הוֹלֶכֶת לְהַכְנִיס לְךָ/לָךְ אֶת הַמָּטוֹשׁ הַזֶּה לִנְחִיר. זֶה יַרְגִּישׁ מוּזָר אֲבָל זֶה לֹא כּוֹאֵב.,,मैं आपके नाक में ये रुई घुसाउँगा | थोड़ा अजीब लगेगा पर दर्द नहीं होगा ,Ho intenzione di mettere questo batuffolo di cotone nella narice. Vi sentirete strano ma non è doloroso,면봉을 콧구멍 안으로 넣을겁니다. 좀 불편 할수 있습니다,Saya akan masukkan putik kapas ini ke dalam hidung anda.. Rasa kurang selesa sikit tapi tak sakit.,ຂ້າພະເຈົ້າຈະເອົາກ້ານສຳລີນີ້ສອດເຂົ້າໄປໃນຮູດັງຂອງທ່ານ. ທ່ານຈະຮູ້ສຶກແປກໆແຕ່ວ່າຈະບໍ່ຮູ້ສຶກເຈັບ,,मी आपल्या नाकपुडी या कापूस अंकुर ठेवले जात आहे. आपण विचित्र वाटत असेल पण तो वेदनादायक नाही,मा  यो  कपासको  सिन्का  तपाइको  नाकमा  राख्नेछु . तपाइलाई  बिचित्र  लाग्ला  तर  दुख्ने  छैन .,ਮੈਂ ਇਸ ਕਪਾਹ ਦੀ ਬੱਲੀ ਨੂੰ ਤੁਹਾਡੇ ਨੱਕ ਵਿਚ ਪਾਵਾਂਗਾ। ਤੁਸੀਂ ਅਜੀਬ ਮਹਿਸੂਸ ਕਰੋਗੇ ਪਰ ਇਹ ਦੁਖਦਾਈ ਨਹੀਂ ਹੈ,"Vou colocar isso cotonete em sua narina. Você vai se sentir estranho, mas não é doloroso","Я собираюсь поместить этот ватный тампон в вашу ноздрю. Вы можете почувствовать дискомфорт, но это не больно",,Voy a poner este algodón en su fosa nasal. Se sentirá raro pero no va a doler,,உங்களுக்கு மது அருந்துதல்/ குடி பழக்கம் இருக்கிறதா? ஒரு வாரத்தில் எவ்வளவு மது அருந்துவீர்கள்?,నేను ఈ కాటన్ మొగ్గను మీ ముక్కులో పెట్టబోతున్నాను. మీరు వింతగా భావిస్తారు కానీ బాధాకరమైనది కాదు.,ตอนนี้หมอจะสอดแท่งสำลีเข้าไปในโพรงจมูก อาจจะรู้สึกแปลกๆ แต่จะไม่เจ็บ,Ben senin burun deliği içine bu pamuk koymak için gidiyorum. Garip hissedecek ama acı değildir,Bây giờ tôi sẽ đưa que bông này vào lỗ mũi của anh/chị. Nó sẽ hơi khó chịu một chút nhưng không đau đâu.,
Medical Instructions,This is to test for coronavirus,Ini untuk mengecek coronavirus,কাগজটা ভাল করে পড়ুন।,ဤသို.ပြုလုပ်ခြင်းသည် ကိုရိုနာဗိုင်းရပ်စ် အတွက် စမ်းသပ်မှုဖြစ် ပါသည်။,Това е тест за коронавирус,这是疫情感染测试,這是用來檢測冠狀病毒的鼻涕樣本,Ito ay pagsusuri para sa coronavirus,Ceci est pour tester la présence de coronavirus,新型コロナウイルスの検査です。,នេះជាការធ្វើតែសសំរាប់ជំងឺកូវីដ19,Dies ist zum Test für corona,આ કોરોનાવાયરસ ની ટેસ્ટ છે,,זֶה בִּשְׁבִיל לִבְדּוֹק הַאִם יֵשׁ לְךָ/לָךְ קוֹרוֹנָה,,यह कोरोना के लिए परीक्षण करने के लिए है,Questo è quello di prova per coronavirus,코로나-19 검사용 입니다,Ujian ini untuk mengesan koronavirus.,ນີ້ຄືການທົດສອບຫາເຊື້ອຈຸລະໂລກໂຄໂລນາ,,या coronavirus परीक्षा आहे,यो  कोरोनाभैरस   टेस्ट  गर्न  को  लागि  गरेको  हो .,ਇਹ ਕੋਰੋਨਾਵਾਇਰਸ ਲਈ ਟੈਸਟ ਕਰਨ ਲਈ ਹੈ,Este é teste para coronavírus,Это для тестирования коронавируса,,Es para hacer la prueba del coronavirus,,"உங்களுக்கு வேறு ஏதாவது மருத்துவ/உடல் நலம் சார்ந்த பிரச்சனைகள் இருந்தால், என்னிடம் ஆங்கிலத்தில் சொல்லுங்கள்",ఇది కరోనావైరస్ పరీక్షా చెయ్యడం కోసం ఇది చేస్తున్నాము,ขั้นตอนนี้เพื่อตรวจไวรัสโคโรน่า,Bu coronavirüs için teste olduğunu,Việc này sẽ lấy mẫu thử xem anh/chị có coronavirus không.,
